Cenário;Canal;scmin;scmax_real;scres_real;Ordem;R2_Medio;Hurst_q2;Largura_Espectro_DeltaAlpha
cenario33_min32_mx8_res30_q5_ord1;T4;32;15000;30;1;0.95;0.77;0.6
cenario34_min32_mx8_res30_q5_ord2;T4;32;15000;30;2;0.91;0.91;0.78
cenario35_min32_mx8_res30_q10_ord1;T4;32;15000;30;1;0.94;0.77;0.68
cenario36_min32_mx8_res30_q10_ord2;T4;32;15000;30;2;0.89;0.91;0.86
cenario37_min32_mx8_res50_q5_ord1;T4;32;15000;50;1;0.95;0.77;0.6
cenario38_min32_mx8_res50_q5_ord2;T4;32;15000;50;2;0.91;0.91;0.87
cenario39_min32_mx8_res50_q10_ord1;T4;32;15000;50;1;0.94;0.77;0.69
cenario40_min32_mx8_res50_q10_ord2;T4;32;15000;50;2;0.9;0.91;0.94
cenario41_min32_mx10_res30_q5_ord1;T4;32;12000;30;1;0.95;0.79;0.61
cenario42_min32_mx10_res30_q5_ord2;T4;32;12000;30;2;0.91;0.94;0.85
cenario43_min32_mx10_res30_q10_ord1;T4;32;12000;30;1;0.94;0.79;0.69
cenario44_min32_mx10_res30_q10_ord2;T4;32;12000;30;2;0.9;0.94;0.91
cenario45_min32_mx10_res50_q5_ord1;T4;32;12000;50;1;0.95;0.79;0.6
cenario46_min32_mx10_res50_q5_ord2;T4;32;12000;50;2;0.91;0.93;0.88
cenario47_min32_mx10_res50_q10_ord1;T4;32;12000;50;1;0.94;0.79;0.69
cenario48_min32_mx10_res50_q10_ord2;T4;32;12000;50;2;0.9;0.93;0.94
cenario49_min64_mx4_res30_q5_ord1;T4;64;30000;30;1;0.97;0.68;0.42
cenario50_min64_mx4_res30_q5_ord2;T4;64;30000;30;2;0.93;0.74;0.58
cenario51_min64_mx4_res30_q10_ord1;T4;64;30000;30;1;0.97;0.68;0.53
cenario52_min64_mx4_res30_q10_ord2;T4;64;30000;30;2;0.92;0.74;0.68
cenario53_min64_mx4_res50_q5_ord1;T4;64;30000;50;1;0.97;0.68;0.42
cenario54_min64_mx4_res50_q5_ord2;T4;64;30000;50;2;0.94;0.74;0.56
cenario55_min64_mx4_res50_q10_ord1;T4;64;30000;50;1;0.97;0.68;0.52
cenario56_min64_mx4_res50_q10_ord2;T4;64;30000;50;2;0.92;0.74;0.65
cenario57_min64_mx8_res30_q5_ord1;T4;64;15000;30;1;0.97;0.7;0.52
cenario58_min64_mx8_res30_q5_ord2;T4;64;15000;30;2;0.93;0.79;0.6
cenario59_min64_mx8_res30_q10_ord1;T4;64;15000;30;1;0.96;0.7;0.61
cenario60_min64_mx8_res30_q10_ord2;T4;64;15000;30;2;0.92;0.79;0.69
cenario61_min64_mx8_res50_q5_ord1;T4;64;15000;50;1;0.97;0.7;0.47
cenario62_min64_mx8_res50_q5_ord2;T4;64;15000;50;2;0.94;0.78;0.58
cenario63_min64_mx8_res50_q10_ord1;T4;64;15000;50;1;0.97;0.7;0.57
cenario64_min64_mx8_res50_q10_ord2;T4;64;15000;50;2;0.93;0.78;0.67
cenario65_min64_mx10_res30_q5_ord1;T4;64;12000;30;1;0.97;0.71;0.49
cenario66_min64_mx10_res30_q5_ord2;T4;64;12000;30;2;0.94;0.8;0.7
cenario67_min64_mx10_res30_q10_ord1;T4;64;12000;30;1;0.96;0.71;0.59
cenario68_min64_mx10_res30_q10_ord2;T4;64;12000;30;2;0.92;0.8;0.79
cenario69_min64_mx10_res50_q5_ord1;T4;64;12000;50;1;0.98;0.72;0.47
cenario70_min64_mx10_res50_q5_ord2;T4;64;12000;50;2;0.94;0.8;0.64
cenario71_min64_mx10_res50_q10_ord1;T4;64;12000;50;1;0.97;0.72;0.58
cenario72_min64_mx10_res50_q10_ord2;T4;64;12000;50;2;0.92;0.8;0.74
cenario73_min128_mx4_res30_q5_ord1;T4;128;30000;30;1;0.98;0.63;0.35
cenario74_min128_mx4_res30_q5_ord2;T4;128;30000;30;2;0.98;0.67;0.37
cenario75_min128_mx4_res30_q10_ord1;T4;128;30000;30;1;0.98;0.63;0.47
cenario76_min128_mx4_res30_q10_ord2;T4;128;30000;30;2;0.97;0.67;0.52
cenario77_min128_mx4_res50_q5_ord1;T4;128;30000;50;1;0.99;0.63;0.36
cenario78_min128_mx4_res50_q5_ord2;T4;128;30000;50;2;0.98;0.68;0.35
cenario79_min128_mx4_res50_q10_ord1;T4;128;30000;50;1;0.98;0.63;0.47
cenario80_min128_mx4_res50_q10_ord2;T4;128;30000;50;2;0.98;0.68;0.48
