Cenário;Canal;q;h(q);tau(q);alpha;f(alpha);R2
cenario07_min16_mx4_res50_q10_ord1;P3;-2.0;1.0323496039347981;-3.0646992078695963;1.170931597784855;0.7228360122998865;0.9426296773553896
cenario07_min16_mx4_res50_q10_ord1;P3;-1.0;0.9744222482176977;-1.9744222482176976;1.056586820449291;0.9178354277684067;0.9605725720405954
cenario07_min16_mx4_res50_q10_ord1;P3;1.0;1.0039908358704543;0.003990835870454346;0.9287551670489314;0.924764331178477;0.9794524386618534
cenario07_min16_mx4_res50_q10_ord1;P3;2.0;0.9512601577109067;0.9025203154218133;0.7935853356231471;0.684650355824481;0.9632935918795933
cenario07_min16_mx4_res50_q10_ord1;P3;3.0;0.8637205023722495;1.5911615071167486;0.6603497046253165;0.389887606759201;0.948100053350647
cenario07_min16_mx4_res50_q10_ord1;P3;4.0;0.8058049311681116;2.2232197246724463;0.6216688950801528;0.26345585564816476;0.9365219600102338
cenario07_min16_mx4_res50_q10_ord1;P3;5.0;0.7668998594554108;2.834499297277054;0.6059684056574002;0.19534273100994648;0.9272367883017096
cenario07_min16_mx4_res50_q10_ord1;P3;6.0;0.7391927559978744;3.4351565359872467;0.5979044666450009;0.15227026388275844;0.9197081769473693
cenario07_min16_mx4_res50_q10_ord1;P3;7.0;0.7186154615095794;4.030308230567056;0.59370640230207;0.12563658554743373;0.9135529045606295
cenario07_min16_mx4_res50_q10_ord1;P3;8.0;0.7028211675739233;4.622569340591387;0.5914732935756;0.10921700801341316;0.9084700876684383
cenario07_min16_mx4_res50_q10_ord1;P3;9.0;0.6903616464131396;5.213254817718256;0.5902328251450051;0.09884060858678989;0.9042271060165644
cenario07_min16_mx4_res50_q10_ord1;P3;10.0;0.6803034990881397;5.803034990881397;0.5897801731631409;0.09476674075001235;0.9006463834093262
cenario08_min16_mx4_res50_q10_ord2;P3;-10.0;1.5464421322120676;-16.46442132212068;1.6549460161143283;-0.08503883902260512;0.8610462090946369
cenario08_min16_mx4_res50_q10_ord2;P3;-9.0;1.5343861451118166;-14.80947530600635;1.6548998508334494;-0.08462335149469347;0.8598533414168111
cenario08_min16_mx4_res50_q10_ord2;P3;-8.0;1.5193277025567224;-13.15462162045378;1.6544023319806467;-0.08059703539139385;0.8585670785681915
cenario08_min16_mx4_res50_q10_ord2;P3;-7.0;1.5000958060064367;-11.500670642045057;1.6526322841990142;-0.0677553473480419;0.85728432616601
cenario08_min16_mx4_res50_q10_ord2;P3;-6.0;1.4748928420092917;-9.849357052055751;1.6481010160217204;-0.039249044074571415;0.8562429887192848
cenario08_min16_mx4_res50_q10_ord2;P3;-5.0;1.4408937220003233;-8.204468610001616;1.6372801761231095;0.018067729386068265;0.8559934680421973
cenario08_min16_mx4_res50_q10_ord2;P3;-4.0;1.393699174952383;-6.574796699809532;1.6114062927152628;0.12917152894848094;0.8578796025516275
cenario08_min16_mx4_res50_q10_ord2;P3;-3.0;1.32721867485703;-4.98165602457109;1.5483185219977327;0.33670045857789166;0.8652712861791361
cenario08_min16_mx4_res50_q10_ord2;P3;-2.0;1.2390798279070334;-3.478159655814067;1.4095044064098536;0.6591508429943596;0.8842767736012546
cenario08_min16_mx4_res50_q10_ord2;P3;-1.0;1.1626472117513829;-2.162647211751383;1.2678984867448169;0.894748725006566;0.9089767200775317
cenario08_min16_mx4_res50_q10_ord2;P3;1.0;1.1826939324667836;0.18269393246678356;1.1280023117154254;0.9453083792486419;0.9479849665627617
cenario08_min16_mx4_res50_q10_ord2;P3;2.0;1.14418105699269;1.28836211398538;1.0121802433887486;0.7359983727921171;0.9361027440577445
cenario08_min16_mx4_res50_q10_ord2;P3;3.0;1.0690181397480936;2.2070544192442805;0.8910759714167258;0.4661734950058971;0.9199925116708177
cenario08_min16_mx4_res50_q10_ord2;P3;4.0;1.017628514204708;3.0705140568188316;0.8540121560452616;0.3455345673622148;0.9089433183356324
cenario08_min16_mx4_res50_q10_ord2;P3;5.0;0.9830157462669608;3.9150787313348037;0.8393132530742049;0.28148753403622084;0.9010098878647083
cenario08_min16_mx4_res50_q10_ord2;P3;6.0;0.9581900938278736;4.749140562967241;0.8307730888419993;0.23549797008475437;0.8950226786477479
cenario08_min16_mx4_res50_q10_ord2;P3;7.0;0.9395178441455432;5.576624909018802;0.8253493334599247;0.20082042520067045;0.8903490016067049
cenario08_min16_mx4_res50_q10_ord2;P3;8.0;0.9249799037358863;6.399839229887091;0.8217954916966459;0.17452470368607642;0.8866011840847278
cenario08_min16_mx4_res50_q10_ord2;P3;9.0;0.9133573213791216;7.220215892412094;0.8194144162075094;0.15451385345549085;0.8835279405926226
cenario08_min16_mx4_res50_q10_ord2;P3;10.0;0.903866806230211;8.03866806230211;0.8184521698900156;0.14585363659804607;0.8809607284965412
cenario09_min16_mx8_res30_q5_ord1;P3;-5.0;1.2880809478038917;-7.440404739019458;1.5059576443842744;-0.08938348290191378;0.9128205310204387
cenario09_min16_mx8_res30_q5_ord1;P3;-4.5;1.263872425961627;-6.687425916827321;1.4995135606848935;-0.060385106254699394;0.9129791072183101
cenario09_min16_mx8_res30_q5_ord1;P3;-4.0;1.2352227945836411;-5.940891178334565;1.4823674890650436;0.011421222074390336;0.9137252519345622
cenario09_min16_mx8_res30_q5_ord1;P3;-3.5;1.2014452650749363;-5.205058427762277;1.4542257594243528;0.11526826977704285;0.9154909904593808
cenario09_min16_mx8_res30_q5_ord1;P3;-3.0;1.1622218063034038;-4.486665418910212;1.4090471270506417;0.25952403775828614;0.918857339045977
cenario09_min16_mx8_res30_q5_ord1;P3;-2.5;1.1184045202846542;-3.7960113007116356;1.340273040098603;0.44532870046512807;0.9243970934055965
cenario09_min16_mx8_res30_q5_ord1;P3;-2.0;1.0731961894058044;-3.146392378811609;1.2476301659823261;0.6511320468469566;0.9322778971229243
cenario09_min16_mx8_res30_q5_ord1;P3;-1.5;1.0322540898195398;-2.5483811347293095;1.1448142897128917;0.831159700159972;0.9416960555351614
cenario09_min16_mx8_res30_q5_ord1;P3;-1.0;1.0015780890987174;-2.001578089098717;1.055448026017812;0.9461300630809051;0.9512040286610899
cenario09_min16_mx8_res30_q5_ord1;P3;-0.5;0.9858662174229951;-1.4929331087114974;1.011806190564749;0.9870300134291229;0.9601739966105134
cenario09_min16_mx8_res30_q5_ord1;P3;0.5;1.0158110828677427;-0.49209445856612866;1.05393031568373;1.0190596164079937;0.9768090134445878
cenario09_min16_mx8_res30_q5_ord1;P3;1.0;1.0481436156603268;0.048143615660326766;1.0676134613757233;1.0194698457153966;0.9804393734443629
cenario09_min16_mx8_res30_q5_ord1;P3;1.5;1.050346001873063;0.5755190028095947;0.9823140828238222;0.8979521214261386;0.9769571797025833
